id,text,author,year,title
343,"С дерев на поздний злак полей
Листы поблеклые опали,
Дубравы без теней стояли,
Молчал пустынный соловей.
Недугом и тоской томимый,
Тех мест страдалец молодой
В последний раз стране родимой
Вверял печальный голос свой.
""Простите, холмы и долины,
Прости, шумливая река,
Я слышу весть моей кончины
В паденьи каждого листка.
О роковое прорицанье!
Я не забыл твой страшный глас:
""Узришь ты рощей увяданье,
Но их узришь в последний раз.
Трепещет кипарис священный!
Уже над головой твоей,
Суровой смерти обреченной,
Склонил он сень своих ветвей.
Твой краткий век - был сон лукавый:
Увянешь ты во цвете дней,
Скорей, чем лист твоей дубравы,
Скорей, чем злак твоих полей"".
Сбылось! своим дыханьем хладным
Болезнь подула на меня,
И сном неясным, безотрадным
Промчалась молодость моя.
Шуми, валися, лист минутный,
Шуми, вались с родных ветвей,
Засыпь, сокрой мой холм приютный
От взоров матери моей.
Но если дева, мне драгая,
Под покрывалом, в тишине,
Как призрак из-за древ мелькая,
На грустный холм придет ко мне,
И плакать простодушно будет
И робко вымолвит: люблю!
Пусть легкий шорох твой пробудит
Тень благодарную мою...
Сказал - и тихо удалился,
Наутро - юноша погас;
Но холм заветный в тихий час
От нежной матери не скрылся:
Напрасен был страдальца глас!
И часто зрелась там у древа
Мать безутешная в слезах;
А с милой лаской на устах
Туда не приходила дева.",Туманский В.И.,1823,Падение листьев
488,"Только дружба обещает
Мне бессмертия венок;
Он приметно увядает,
Как от зноя василек.
Мне оставить ли для славы
Скромную стезю забавы? - 
Путь к забавам проложен;
К славе тесен и мудрен!
Мне ль за призраком гоняться,
Лавры с скукой собирать?
Я умею наслаждаться,
Как ребенок всем играть;
И счастлив!.. Досель цветами
Путь ко счастью устилал;
Пел, мечтал, подчас стихами
Горесть сердца услаждал.
Пел от лени и досуга;
Муза - мне была подруга;
Не был ей порабощен.
А теперь, весна как сон
Легкокрылый исчезает
И с собою увлекает
Прелесть песней и мечты!
Нежны мирты и цветы,
Чем прелестницы венчали
Юного певца, - завяли!
Ах! ужели наградит
Слава счастия утрату
И ко дней моих закату
Как нарочно прилетит?",Батюшков К.Н.,1817,К Г***чу
298,"Волшебница! твой ненавистен дар!
Ты мертвеца к страданью пробудила;
Больную грудь опять одушевила,
И прежних ран опять пылает Жар.

Я забывал, обманутый собой,
И свет и жизнь, и радость и страданье,
И светлый мир — мечты моей созданье...
Зачем будить — я крепко спал душой!

О! я не знал твоей науки злой;
Тебя любил, как любят добродетель;
Внимал тебе, и скромный был свидетель
Твоих побед, незнаемых тобой.

Тебя любил, как бескорыстный друг,
И ты за то так страшно отомстила!
Коварных струн волнующая сила
Души больной растрогала недуг.

За звуком звук до сердца долетал;
Будил мечты, будил воспоминанья...
Минувших дней мятежные желанья,
Младые сны, опять я вас узнал!

Узнал, но что ж: умолк волшебный звон;
Былого тень, как легкий призрак, скрылась;
Опять тоска на сердце опустилась...
Одна тоска давно забытых мук!
",[Н.К.],1822,Коринне
323,"Мечты, мечты!
Где ваша сладость?
Где ты - где ты
Ночная радость?
Исчезнул он
Веселый сон,
И одинокой
Во тьме глубокой
Я пробужден!..
Кругом постели
Немая ночь;
Вмиг улетели
Толпою прочь
Любви мечтанья;
Еще полна
Душа желанья
И ловит сна
Воспоминанья.
Любовь! любовь!
Внемли моленье,
Пошли мне вновь
Свои виденья;
И поутру,
Вновь упоенный,
Пускай умру
Не пробужденный!..",Пушкин А.С.,1831,Элегия
14,"Лишь сумраком оденутся поля
И неба свод покажет вид угрюмой;
С подругами тогда одними я -
Печалию и тяжкой сердцу думой -
В молчании бреду на брег морской
Роптанием волн бурных утешаться,
И с шумом их сливая голос свой,
Отрадою сердечной облегчаться!..
Ах! как легко для сердца - сироты,
Когда с ним кто страданья разделяет!
И отзыв бурь и голос волн - мечты
Отрадные несчастных услаждает!
И в их сердцах уж тех волнений нет,
И муки чувств, питаемых кручиной!..
И кажется уже чужой им свет
И даль - как бы недальнею отчизной!
",[А. Сырох-въ],1820,Елегии жителя берегов Чернаго моря
175,"Ручей, виющийся по светлому песку,
Коль тихая твоя гармония приятна!
С каким сверканием катишься ты в реку!
Приди, о муза благодатна,

В венке из юных роз, с цевницею златой;
Склонись задумчиво на пенистые воды
И, звуки оживив, туманный вечер пой
На лоне дремлющей Природы!

Как солнца за горой пленителен закат, —
Когда поля в тени, а рощи отдаленны
И в зеркале воды колеблющийся град
Багряным блеском озаренны;

Когда с холмов златых стада бегут к реке,
И рева гул гремит звучнее над водами;
И, сети склав, рыбак на легком челноке
Плывет у брега меж кустами;

Когда пловцы шумят, скликаясь по стругам,
И веслами струи согласно рассекают;
И, плуги обратив, по глыбистым браздам
С полей оратаи съезжают!..

Уж вечер!.. облаков померкнули края,
Последний луч зари на башнях умирает;
Последняя в реке блестящая струя
С потухшим небом угасает!

Все тихо! рощи спят! в окрестности покой!
Простершись на траве под ивой наклоненной,
Внимаю, как журчит, сливаяся с рекой,
Поток, кустами осененный.

Как слит с прохладою растений фимиам!
Как сладко в тишине у брега струй плесканье!
Как тихо веянье зефира по водам
И гибкой ивы трепетанье!

Чуть слышно над ручьем колышется тростник;
Глас петела вдали уснувши будит селы;
В траве коростеля я слышу дикий крик,
В лесу стенанье Филомелы!..

Но что!.. какой вдали мелькнул волшебный луч?
Восточных облаков хребты воспламенились;
Осыпан искрами во тьме журчащий ключ;
В реке дубравы отразились!

Луны ущербный лик встает из-за холмов!..
О тихое небес задумчивых светило!
Как зыблется твой блеск на сумраке лесов!
Как бледно брег ты озлатило!

Сижу задумавшись; в душе моей мечты;
К протекшим временам лечу воспоминаньем!
О дней моих весна, как быстро скрылась ты,
С твоим блаженством и страданьем!

Где вы, мои друзья! вы, спутники мои?
Ужели никогда не зреть соединенья?
Ужель иссякнули всех радостей струи?..
О вы, погибши наслажденья!

О братья! о друзья! где наш священный круг?
Где песни пламенны и Музам и свободе?
Где Вакховы пиры при шуме зимних вьюг?
Где клятвы, данные Природе,

Хранить с огнем души нетленность братских уз?
И где же вы, друзья?.. Иль всяк своей тропою,
Лишенный спутников, влача сомнений груз,
Разочарованный душою,

Тащиться осужден до бездны гробовой?..
Один — минутный цвет — почил, и непробудно!
И гроб безвременный Любовь кропит слезой!
Другой... о Небо правосудно!..

А мы... ужель дерзнем друг другу чужды быть?
Ужель красавиц взор, иль почестей исканье,
Иль суетная честь приятным в свете слыть
Загладят в сердце вспоминанье

О радостях души, о счастье юных дней,
И дружбе, и любви, и Музам посвященных?
Нет, нет! пусть всяк идет вослед судьбе своей,
Но в сердце любит незабвенных...

Мне Рок судил: брести неведомой стезей,
Быть другом мирных сел, любить красы Природы,
Дышать под сумраком дубравной тишиной
И, взор склонив на пенны воды,

Творца, друзей, любовь и счастье воспевать!
О песни, чистый плод невинности сердечной!
Блажен, кому дано цевницей оживлять
Часы сей жизни скоротечной!

Кто, в тихий утра час, когда туманный дым
Ложится по полям и холмы облачает
И солнце, восходя, по рощам голубым
Спокойно блеск свой разливает,

Спешит, восторженный, оставя сельский кров,
В дубраве упредить пернатых пробужденье,
И, лиру соглася с свирелью пастухов,
Поет светила возрожденье!

Так! петь есть мой удел!.. но долго ль?.. как узнать?..
Ах! скоро, может быть, с Минваною унылой
Придет сюда Альпин в час вечера мечтать
Над тихой юноши могилой!
",Жуковский В.А.,1824,Вечер
567,"О, что сбылось с тобой, невеста молодая?
Увы, погибла ты, о радости мечтая!

Она уже в тот край несется кораблем,
Где ждет ее любовь с ей милым женихом;
Где, песен свадебных услыша хоры,
Он встретил бы ее пленительные взоры.
Заботливой рукой под ключ положено
В узорных кружевах ночное полотно,
И дивный аромат для локонов небрежных,
И радужный жемчуг для персей белоснежных.
В раздумье сладостном и негой смущена,
Прелестная стоит на палубе одна,
Пленяясь ярких волн блестящей синевою
И полуночных звезд таинственной красою;
Но вихрь вдруг налетел и, вьяся в пеленах,
Схватил ее, помчал, - она уже в волнах!
Она уже в волнах, невеста молодая!
Уж над прекрасною шумит волна морская!
Один лишь тихий стон был вестью роковой
О жалкой участи любви ее земной;
И волны подняли, клубяся, вой унылый
Над раннею ее холодною могилой.

Увы, желанных дней прекрасной не видать!
Невеста!.. жениху тебя уж не встречать!
Утратил он с тобой любви своей надежду.
Не наряжалась ты во брачную одежду,
Не билась грудь твоя под светлым жемчуго́м,
И не украсила ты локоны венцом.

",Козлов И.И.,1835,Невеста
273,"Приди, о Делия! условный час настал;
Волною стелется туман среди долины;
Вот, на краю небес, багряный месяц стал,
И черна тень от гор упала на равнины.
Все смолкло - и лесок давно уж повторил
Последний, громкий звук пастушеской свирели;
Лесок, где столько раз мы от восторгов тлели,
Где к наслаждениям я новый мир открыл.

Здесь очарованы прелестными мечтами,
Мы забывали все - струился огнь в крови,
В безмолвии уста смыкалися с устами
И тихо излетал вздох счастливой любви!

Спеши к блаженству вновь, блаженство быстролетно!
Восторги с нашею сокроются весной,
И старость скучная, подкравшись неприметно,
Веселье и любовь отгонит прочь клюкой.",Цертелев Н.А.,1820,Призвание
477,"О память сердца! ты сильней
Рассудка памяти печальной,
И часто сладостью своей
Меня в стране пленяешь дальной.
Я помню голос милых слов,
Я помню очи голубые,
Я помню локоны златые
Небрежно вьющихся власов.
Моей пастушки несравненной
Я помню весь наряд простой,
И образ милый, незабвенный,
Повсюду странствует со мной.
Хранитель гений мой - любовью
В утеху дан разлуке он:
Засну ль? приникнет к изголовью
И усладит печальный сон.",Батюшков К.Н.,1817,Мой гений
56,"На камне мшистом в час ночной, 
Из милой родины изгнанник, 
Сидел Князь Курбский, вождь младой, 
В Литве враждебной грустный странник, 
Позор и слава русских стран, 
В совете мудрый, страшный в брани, 
Надежда скорбных Россиян, 
Гроза ливонцев, бич Казани… 

Сидел - и в перекатах гром
На небе мрачном раздавался, 
И темный лес шумя, кругом  
От блеска молний освещался. 
""Далеко от страны драгой, 
Далеко от подруги милой,"" -
Сказал он, покачав главой, -
""Я должен век вести унылой. 

Уж боле пылких я дружин
Не поведу к кровавой брани, 
И враг не побежит с равнин
От покорителя Казани! 
До дряхлой старости влача
Унылу жизнь в тиши бесславной, 
Не обнажу за Русь меча, 
Гоним судьбою своенравной. 

В Литве я ныне стал вождем; 
Но, ах! ни почести велики
Не веселят в краю чужом, 
Ни ласки чуждого владыки! 
Я все стенаю, и грущу, 
И на пирах сижу угрюмый, 
Чего-то для души ищу, 
И часто погружаюсь в думы... 

И в хижине и во дворце
Меня глас внутренний тревожит, 
И мрачность на моем лице
Веселость шумных пиршеств множит... 
Увы! злым роком я лишен
Семьи, отечества драгого!
Сколь жалок тот, кто осужден
Искать в стране чужой покрова!""  ",Рылеев К.Ф.,1821,Курбский
