modern_name,old_name_sep,id
„Коковкин и Басов“,„Коковкинъ и Басовъ“,2043
"Аблесимов, А. О.","Аблесимовъ, А. О.",50
"Абозин, И. И.","Абозинъ, И. И.",2033
"Абозин, И. И.","Абозинъ, И. И.",2436
Аболенский. В. В.,Аболенскій. В. В.,1745
"Абрагамсон, А. А.","Абрагамсонъ, А. А.",1558
"Абрамевич, В.","Абрамевичъ, В.",1229
"Абрикосов, А. А.","Абрикосовъ, А. А.",2028
"Аброжевич, П. М.","Аброжевичъ, П. М.",2024
"Аверкиев, Д. В.","Аверкіевъ, Д. В.",1736
"Авсеенко, В. Г. З.","Авсѣенко, В. Г. З.",1834
"Авсеенко, В. Г. З.","Авсѣенко, В. Г. З.",2153
"Агапитов, Н. Н.","Агапитовъ, Н. Н.",1033
"Агафангел, архимандрит","Агафангелъ, архимандритъ",526
"Агафонов, Н. Я.","Агафоновъ, Н. Я.",995
"Агафонов, Ник.","Агафоновъ, Ник.",1114
"Адель, Б. О.","Адель, Б. О.",2580
Адеркас Ю.,Адеркасъ Ю.,1861
"Адеркас, М. Е.","Адеркасъ, М. Е.",2470
"Адеркас, О. К.","Адеркасъ, О. К.",1836
"Адольф, А.","Адольфъ, А.",2149
"Адрианов, А.","Адріановъ, А.",1515
"Азанчевская, Ю. П.","Азанчевская, Ю. П.",1350
"Азанчевский, В. В.","Азанчевскій, В. В.",1350
"Акоренко, А. И.","Акоренко, А. И.",2426
"Аксаков, И. С.","Аксаковъ, И. С.",534
"Аксаков, И. С.","Аксаковъ, И. С.",617
"Аксаков, И. С.","Аксаковъ, И. С.",722
"Аксаков, И. С.","Аксаковъ, И. С.",913
"Аксаков, И. С.","Аксаковъ, И. С.",1511
Акуньянц,"Акуньянцъ,",1847
"Аладьин, Е. В.","Аладьинъ, Е. В.",328
"Алафузов, А. Н.","Алафузовъ, А. Н.",1895
"Алекеесв, П. П.","Алекеѣсвъ, П. П.",1076
"Александр Павлович, великий князь","Александръ Павловичъ, великій князь",112
"Александров, А.","Александровъ, А.",2069
"Александров, А. А.","Александровъ, А. А.",2441
"Александров, А. И.","Александровъ, А. И.",2478
"Александров, Л. П.","Александровъ, Л. П.",2477
"Александров, Н. А.","Александровъ, Н. А.",1523
"Александров, Н. А.","Александровъ, Н. А.",1963
"Александровский, А. А.","Александровскій, А. А.",1296
"Александровский, В.","Александровскій, В.",1434
"Алексанов, И. Я.","Алексановъ, И. Я.",2539
"Алексеев, А. Г.","Алексѣевъ, А. Г.",2651
"Алексеев, А. И.","Алексѣевъ, А. И.",1612
"Алексеев, А. И.","Алексѣевъ, А. И.",1686
"Алексеев, В. Ф.","Алексѣевъ, В. Ѳ.",2805
"Алексеева, М. Д.","Алексѣева, М. Д.",2052
Алекторов,"Алекторовъ,",1760
"Алекторова, П. Е.","Алекторова, П. Е.",1976
"Алиханов, В. И.","Алихановъ, В. І.",1355
"Аловерт, И. П.","Аловертъ, И. П.",2309
"Аловерт, Н.","Аловертъ, Н.",1750
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1381
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1447
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1448
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1552
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1733
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1979
"Аловерт, Н. Н.","Аловертъ, Н. Н.",1991
"Аловерт, Н. Н.","Аловертъ, Н. Н.",2745
"Аловерт, Н. Н.","Аловертъ, Н. Н.",2746
"Аловерт, Н. Н.","Аловертъ, Н. Н.",2836
"Аловерт, Н. Н.","Аловертъ, Н. Н.",2850
"Алферов, Вас.","Алферовъ, Вас.",193
"Алферов, Д. П.","Алферовъ, Д. П.",2765
"Алышевский, В. Г.","Алышевскій, В. Г.",2027
"Алышевский, В. Г.","Алышевскій, В. Г.",2027
"Альбов, М. Н.","Альбовъ, М. Н.",1349
"Альбов, М. Н.","Альбовъ, М. Н.",1776
"Альмединген, А.","Альмедингенъ, А.",1536
"Альмединген, А.","Альмедингенъ, А.",1583
"Альмединген, А.","Альмедингенъ, А.",1583
"Альмединген, А.","Альмедингенъ, А.",1903
"Альмединген, А.","Альмедингенъ, А.",1969
"Альмединген, А.","Альмедингенъ, А.",2122
"Альмединген, А. Н.","Альмедингенъ, А. Н.",1536
"Альмединген, А. Н.","Альмедингенъ, А. Н.",1583
"Альмединген, А. Н.","Альмедингенъ, А. Н.",1995
"Альмединген, А. Н.","Альмедингенъ, А. Н.",2773
Альперов,Альперовъ,2633
"Альтгаузен, Э. А.","Альтгаузенъ, Э. А.",2285
"Альфа, А. Я.","Альфа, А. Я.",2421
"Альфа, А. Я.","Альфа, А. Я.",2424
"Ананьева, Елиз.","Ананьева, Елиз.",1215
"Анастасевич, В. Г.","Анастасевичъ, В. Г.",201
"Анастасиев, А. И.","Анастасіевъ, А. И.",2317
"Андреев, В. А.","Андреевъ, В. А.",2767
"Андреев, Е.","Андреевъ, Е.",802
"Андреев, И. Е.","Андреевъ, И. Е.",1263
"Андреев, К. Ф.","Андреевъ, К. Ѳ.",165
"Андреев, П.","Андреевъ, П.",963
"Андреев, П.","Андреевъ, П.",1674
"Андреев, П. П.","Андреевъ, П. П.",909
"Андреев, П. П.","Андреевъ, П. П.",1447
"Андреев, П. П.","Андреевъ, П. П.",1448
"Андреева, А. П.","Андреева, А. П.",2868
"Андреевский, И. Е.","Андреевскій, И. Е.",1045
"Андреевский, И. Е.","Андреевскій, И. Е.",1243
"Андреевский, И. Е.","Андреевскій, И. Е.",1723
"Андреевский, П. А.","Андреевскій, П. А.",1418
"Андреевский, С.","Андреевскій, С.",2465
"Андриевич, Н. Н.","Андріевичъ, Н. Н.",1801
"Андрияшев, А.","Андріяшевъ, А.",808
"Андрияшев, А.","Андріяшевъ, А.",900
"Андрияшев, А.","Андріяшевъ, А.",1873
"Андроников, П. И.","Андрониковъ, П. И.",1630
"Андроникова, Т. П.","Андроникова, Т. П.",1630
"Андроникова, Т. П.","Андроникова, Т. П.",2732
"Андруцкий, П.","Андруцкій, П.",730
"Анисимов, В.","Анисимовъ, В.",1893
"Аничков, В.","Аничковъ, В.",566
"Анненков, Н. И.","Анненковъ, Н. И.",633
"Анненков, Н. И.","Анненковъ, Н. И.",664
"Анненков, Н. И.","Анненковъ, Н. И.",685
"Анненков, Н. И.","Анненковъ, Н. И.",760
"Анненский, Н.","Анненскій, Н.",1739
"Аннов, В. М.","Анновъ, В. М.",1388
"Анреп, В.","Анрепъ, В.",1487
"Антонов, Е.","Антоновъ, Е.",2224
"Антонович, А. Я.","Антоновичъ, А. Я.",1886
"Антонович, В. М.","Антоновичъ, В. М.",1886
"Антоновский, М. И.","Антоновскій, М. И.",81
"Антушевич, И. А.","Антушевичъ, И. А.",2285
"Анучин, Д. Н.","Анучинъ, Д. Н.",837
"Анучин, Д. Н.","Анучинъ, Д. Н.",2226
"Анучин, Д. Н.","Анучинъ, Д. Н.",2330
"Анучин, Е. Н.","Анучинъ, Е. Н.",908
"Анучин, П. Н.","Анучинъ, П. Н.",1835
"Аппельрот, В.","Аппельротъ, В.",2149
"Априков, П. Н.","Априковъ, П. Н.",2508
"Арабажин, К. И.","Арабажинъ, К. И.",2779
"Арапетов, И. П.","Арапетовъ, И. П.",474
"Арапов, П. А.","Араповъ, П. А.",2596
"Арепьев, Н. Ф.","Арепьевъ, Н. Ѳ.",2449
"Аристов, А. И.","Аристовъ, А. И.",1252
