name,id,level,topic,subtopic,city
Ежемѣсячныя сочиненія къ пользѣ и увеселенію служащія. 1755—1757. — Сочиненія и переводы къ пользѣ и увеселенію служащія. 1758—1762. — Ежемѣсячныя сочиненія и извѣстія о ученыхъ дѣлахъ. 1763—1764,5,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Праздное время. 1759—1760,7,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Трудолюбивая Пчела. 1759,8,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Адская Почта. 1769,16,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Всякая Всячина. 1769—1770. — Барышекъ Всякія Всячины. 1770,17,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
И То и Сіо. 1769,18,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Ни То ни Сіо. 1769,19,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Поденьщина. 1769,20,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Полезное съ пріятнымъ. 1769,21,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Смѣсь. 1769,22,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Трутень. 1769—1770,23,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Парнасскій Щепетильникъ. 1770,24,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Пустомеля. 1770,25,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Трудолюбивый Муравей. 1771,26,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Вечера. 1772—1773,27,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Живописецъ. 1772—1773,28,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Старина и Новизна. 1772—1773,29,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Мешенина катоноскарроническая. 1773,31,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Кошелекъ. 1774,32,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Зритель Свѣта. 1775,36,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Санктпетербургскій Вѣстникъ. 1778—1781,42,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Модное Ежемѣс. изданіе. 1779. Спб. и Москва,46,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Что нибудь. 1780,47,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Отъ всего помаленьку. 1782,53,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Парнаскія Вѣдомости. 1782,54,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Утра. 1782,55,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Санктпетербургская Вивліоѳика Журналовъ въ Англіи. 1783,57,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Растущій Виноградъ. 1785—1787,63,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Зеркало Свѣта. 1786—1787,65,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Лѣкарство отъ скуки и заботъ. 1786—1787,66,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
Новый Санктпетербургскій Вѣстникъ. 1786,67,Издания петербургские,"А. Издания политические, общественные и литературные",1. Журналы,Санкт-Петербург
