Slovoforma,lemma,part_of_speech,letters_in_slovoforma,slogi_slovoforma,rang_frequency_NKRIA,IA_DWELL_TIME_%,IA_AVERAGE_FIX_PUPIL_SIZE,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_FIXATION_%,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_REGRESSION_PATH_DURATION,TRIAL_FIXATION_COUNT,sex,grade
клубни,клубень,S,6,2,2,0.0057,1338,106,9330,1,0.013,0,0,106,77,m,3
снова,снова,ADV,5,2,5,0.0063,1006,108,14176,0,0.013,0,0,108,77,f,2
собаки,собака,S,6,3,5,0.0034,1150,108,19886,1,0.0094,0,0,108,106,m,2
траве,трава,S,5,2,4,0.0123,1360,110,298,0,0.0312,1,0,476,32,f,3
шуба,шуба,S,4,2,3,0.0023,864,112,52850,1,0.0057,0,1,658,174,m,2
цветов,цветы,S,6,2,4,0.0038,1445,112,4016,0,0.0099,0,0,452,101,f,3
сойка,сойка,S,5,1,1,0.006,1322,116,19872,1,0.0139,0,1,1086,72,f,1
чем,что,CON,3,1,5,0.0033,1290,116,38930,1,0.0092,0,0,116,109,m,2
подумала,подумать,V,8,4,5,0.0056,1224,116,7258,0,0.0132,0,0,116,76,m,1
конь,конь,S,4,1,4,0.0066,2227,118,356,0,0.0125,1,0,838,80,m,3
ребята,ребята,S,6,3,5,0.0032,1088,120,25098,0,0.0078,1,0,120,129,m,1
лед,S,5,1,476,3,0.0031,1236,124,9178,0,0.0069,0,0,1076,145,f,2
снова,снова,ADV,5,2,5,0.0082,538,126,10894,1,0.0161,0,0,126,62,f,2
дикие,дикий,A,5,2,4,0.0127,1004,126,3002,1,0.0312,0,0,126,32,f,2
белые,белый,A,5,3,5,0.0068,1307,126,18546,1,0.013,0,0,126,77,m,3
там,там,P,3,1,5,0.0066,849,126,7384,0,0.0141,0,0,454,71,f,2
зубах,зуб,S,5,2,4,0.0065,1287,126,3822,0,0.0127,0,0,276,79,f,1
называется,называться,V,10,5,5,0.005,1627,128,17206,0,0.0137,0,0,880,73,m,1
все,все,P,3,1,5,0.0082,1279,130,8826,0,0.012,1,0,130,83,f,3
